"Name der Installation";"phzh"
"Datum des Reports";"01. Jun 2022, 14:12"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (31. Mai 2021, 02:00 - 31. Mai 2022, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"925994"
"Abgänge";"925131"
"Abgänge - Logout";"85788"
"Abgänge - Timeout";"835213"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4130"

"active_min";"active_max";"active_avg";"slot_begin"
"1";"1354";"527";"23.02.2022 00:00"
"4";"1313";"529";"24.02.2022 00:00"
"2";"1485";"451";"25.02.2022 00:00"
"1";"259";"117";"26.02.2022 00:00"
"1";"341";"173";"27.02.2022 00:00"
"2";"1297";"569";"28.02.2022 00:00"
"2";"1201";"522";"01.03.2022 00:00"
"3";"1290";"553";"02.03.2022 00:00"
"3";"1236";"538";"03.03.2022 00:00"
"3";"1416";"458";"04.03.2022 00:00"
"1";"283";"140";"05.03.2022 00:00"
"2";"368";"186";"06.03.2022 00:00"
"5";"1263";"546";"07.03.2022 00:00"
"3";"1116";"498";"08.03.2022 00:00"
"2";"1278";"532";"09.03.2022 00:00"
"4";"1146";"481";"10.03.2022 00:00"
"2";"1173";"375";"11.03.2022 00:00"
"1";"287";"135";"12.03.2022 00:00"
"2";"349";"173";"13.03.2022 00:00"
"2";"1147";"491";"14.03.2022 00:00"
"3";"963";"431";"15.03.2022 00:00"
"3";"1068";"448";"16.03.2022 00:00"
"2";"942";"407";"17.03.2022 00:00"
"5";"1085";"354";"18.03.2022 00:00"
"1";"287";"118";"19.03.2022 00:00"
"1";"293";"154";"20.03.2022 00:00"
"2";"912";"388";"21.03.2022 00:00"
"3";"737";"338";"22.03.2022 00:00"
"3";"866";"362";"23.03.2022 00:00"
"1";"768";"341";"24.03.2022 00:00"
"1";"942";"301";"25.03.2022 00:00"
"2";"222";"105";"26.03.2022 00:00"
"2";"264";"134";"27.03.2022 00:00"
"2";"867";"396";"28.03.2022 00:00"
"5";"718";"330";"29.03.2022 00:00"
"4";"865";"374";"30.03.2022 00:00"
"1";"752";"325";"31.03.2022 00:00"
"5";"921";"309";"01.04.2022 00:00"
"3";"283";"125";"02.04.2022 00:00"
"1";"334";"145";"03.04.2022 00:00"
"2";"890";"386";"04.04.2022 00:00"
"1";"687";"316";"05.04.2022 00:00"
"1";"892";"366";"06.04.2022 00:00"
"2";"819";"343";"07.04.2022 00:00"
"2";"843";"295";"08.04.2022 00:00"
"1";"323";"123";"09.04.2022 00:00"
"1";"270";"140";"10.04.2022 00:00"
"3";"881";"390";"11.04.2022 00:00"
"2";"834";"340";"12.04.2022 00:00"
"2";"683";"292";"13.04.2022 00:00"
"3";"625";"217";"14.04.2022 00:00"
"5";"161";"71";"15.04.2022 00:00"
"1";"141";"59";"16.04.2022 00:00"
"2";"118";"53";"17.04.2022 00:00"
"1";"212";"101";"18.04.2022 00:00"
"4";"485";"206";"19.04.2022 00:00"
"1";"417";"186";"20.04.2022 00:00"
"1";"484";"196";"21.04.2022 00:00"
"1";"514";"187";"22.04.2022 00:00"
"2";"210";"93";"23.04.2022 00:00"
"2";"271";"141";"24.04.2022 00:00"
"4";"993";"352";"25.04.2022 00:00"
"1";"868";"383";"26.04.2022 00:00"
"4";"886";"369";"27.04.2022 00:00"
"3";"971";"369";"28.04.2022 00:00"
"4";"948";"301";"29.04.2022 00:00"
"1";"203";"88";"30.04.2022 00:00"
"1";"264";"129";"01.05.2022 00:00"
"1";"777";"355";"02.05.2022 00:00"
"2";"676";"307";"03.05.2022 00:00"
"2";"820";"349";"04.05.2022 00:00"
"1";"756";"332";"05.05.2022 00:00"
"4";"922";"308";"06.05.2022 00:00"
"1";"300";"129";"07.05.2022 00:00"
"1";"314";"151";"08.05.2022 00:00"
"1";"887";"397";"09.05.2022 00:00"
"6";"718";"311";"10.05.2022 00:00"
"1";"780";"336";"11.05.2022 00:00"
"4";"687";"305";"12.05.2022 00:00"
"2";"912";"313";"13.05.2022 00:00"
"1";"428";"159";"14.05.2022 00:00"
"4";"298";"153";"15.05.2022 00:00"
"1";"918";"395";"16.05.2022 00:00"
"4";"670";"310";"17.05.2022 00:00"
"3";"784";"333";"18.05.2022 00:00"
"1";"877";"336";"19.05.2022 00:00"
"4";"843";"311";"20.05.2022 00:00"
"1";"270";"126";"21.05.2022 00:00"
"2";"324";"156";"22.05.2022 00:00"
"1";"811";"382";"23.05.2022 00:00"
"4";"825";"357";"24.05.2022 00:00"
"2";"707";"266";"25.05.2022 00:00"
"2";"377";"170";"26.05.2022 00:00"
"5";"551";"222";"27.05.2022 00:00"
"1";"318";"133";"28.05.2022 00:00"
"1";"436";"206";"29.05.2022 00:00"
"6";"1008";"463";"30.05.2022 00:00"
"55";"264";"143";"31.05.2022 00:00"
